property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
2 BHK Apartment for Sale in NB Sarvam  Sanand Ahmedabad, None, 645 sqft, Poss. by Apr '24, None,New Property, Unfurnished, None, None, 1 Covered, 2, None, ₹31.1 Lac, ₹2 621 per sqft
2 BHK Apartment for Sale in Shilp Ananta  Shela Ahmedabad, None, 1085 sqft, Poss. by Dec '24, None,New Property, Unfurnished, None, None, 1 Covered, 2, None, ₹42.1 Lac, ₹3 882 per sqft
4 BHK Apartment for Sale in Iscon Vogue  Iscon Ambli Road Ahmedabad, None, 6045 sqft, Poss. by Dec '25, None,New Property, Unfurnished, None, None, 3 Covered, 4, None, ₹3.98 Cr, ₹6 600 per sqft
3 BHK Apartment for Sale in Takshashila AIR  Ellisbridge Ahmedabad, None, 2065 sqft, Ready to Move, None,New Property, Unfurnished, None, None, 1 Covered, 2, None, ₹1.35 Cr, ₹6 538 per sqft
3 BHK Apartment for Sale in EMBRACE  Vaishnodevi Circle Ahmedabad, EMBRACE, 1190 sqft, Poss. by Dec '27, 2 out of 14,New Property, Unfurnished, East, Freehold, 1 Covered , 3, 1, ₹1.45 Cr, ₹6 701 per sqft
4 BHK Apartment for Sale in Eminence 96  Thaltej Ahmedabad, None, 3480 sqft, Poss. by Jul '24, 1 out of 12,New Property, Unfurnished, None, None, 3 Covered, 4, None, ₹2.71 Cr, ₹7 787 per sqft
4 BHK Villa for Sale in Science City Ahmedabad, None, 400 sqyrd, Ready to Move, None,Resale, Furnished, East, Freehold, 3 Covered , 4, 1, ₹7 Cr, ₹17 284 per sqft
3 BHK Apartment for Sale in Rajvi Opal  Naranpura Ahmedabad, None, 1602 sqft, Ready to Move, None,New Property, Unfurnished, None, None, 2 Covered, 3, None, ₹1.11 Cr, ₹6 929 per sqft
3 BHK Apartment for Sale in Samanvay Scintilla  South Bopal  Bopal Ahmedabad, None, 1570 sqft, Poss. by Jun '26, None,New Property, Unfurnished, None, None, 1 Covered, 3, None, ₹65 Lac, ₹4 140 per sqft
4 BHK Apartment for Sale in Aadhya Arambh Residential  Ghatlodiya Ahmedabad, None, 1505 sqft, Poss. by Dec '27, None,New Property, Unfurnished, None, None, 1 Covered, 4, None, ₹1.42 Cr, ₹5 009 per sqft
5 BHK Apartment for Sale in Rajyash Regius  Bopal Ahmedabad, None, 4444 sqft, Poss. by Dec '24, None,New Property, Unfurnished, None, None, None, 5, None, ₹3.89 Cr, ₹6 505 per sqft
6 BHK Apartment for Sale in Ambli Ahmedabad, None, 6840 sqft, Poss. by Dec '25, 21 out of 22,New Property, Unfurnished, West, Freehold, 4 Covered, 6, 1, ₹11.40 Cr, ₹10 000 per sqft
3 BHK Apartment for Sale in Gala Glory  South Bopal  Bopal Ahmedabad, Gala Glory, 825 sqft, Ready to Move, 9 out of 13,New Property, Unfurnished, East, Freehold, 1 Covered, 3, 1, ₹69 Lac, ₹5 018 per sqft
3 BHK Apartment for Sale in Takshashila Crest Residential  Maninagar Ahmedabad, None, 2115 sqft, Poss. by Dec '24, None,New Property, Unfurnished, None, None, None, 3, None, ₹1.41 Cr, ₹6 667 per sqft
3 BHK Apartment for Sale in RJ Pashmina  Chandkheda Ahmedabad, None, 3078 sqft, Poss. by Dec '24, None,New Property, Unfurnished, None, None, None, 3, None, ₹1.45 Cr, ₹4 711 per sqft
3 BHK Apartment for Sale in Shree Vishnudhara Essence   Thaltej Ahmedabad, None, 1845 sqft, Poss. by Jun '25, None,New Property, Unfurnished, None, None, 2 Covered, 3, None, ₹1.25 Cr, ₹6 775 per sqft
4 BHK Apartment for Sale in The Empiirean  Vaishnodevi Circle Ahmedabad, The Empiirean, 236 sqft, Poss. by Dec '25, 12 out of 22,New Property, Unfurnished, East, Freehold, 2 Covered, 4, 1, ₹2.01 Cr, ₹5 222 per sqft
5 BHK Apartment for Sale in Oeuvre 3  Ambli Ahmedabad, Oeuvre 3, 5887 sqft, Poss. by Apr '26, 8 out of 12,Resale, Unfurnished, North - East, Co-operative Society, None, 5, 2, ₹4.36 Cr, ₹7 406 per sqft
4 BHK Apartment for Sale in Vaishnodevi Circle Ahmedabad, None, 3465 sqft, Poss. by May '26, 10 out of 14,New Property, Unfurnished, East, Freehold, 2 Covered, 4, 2, ₹1.69 Cr, ₹4 889 per sqft
3 BHK Apartment for Sale in Vivaan Ixora  Zundal Ahmedabad, Vivaan Ixora, 968 sqft, Poss. by Dec '25, 11 out of 14,New Property, Unfurnished, East, Freehold, 1 Covered, 2, 1, ₹72 Lac, ₹3 922 per sqft
3 BHK Apartment for Sale in Aatishya 100  Vaishnodevi Circle Ahmedabad, Aatishya 100, 1000 sqft, Ready to Move, Lower Basement out of 13,New Property, Semi-Furnished, East, Freehold, 1 Covered, 3, 1, ₹70 Lac, ₹4 204 per sqft
3 BHK Apartment for Sale in Shilp Revanta  Shela Ahmedabad, Shilp Revanta, 820 sqft, Poss. by Jun '24, 7 out of 14,New Property, Unfurnished, East, Freehold, 1 Covered, 3, 1, ₹59 Lac, ₹3 910 per sqft
2 BHK Apartment for Sale in The Green Parmeshwar  Jagatpur Ahmedabad, The Green Parmeshwar, 780 sqft, Poss. by Jul '25, 7 out of 13,New Property, Unfurnished, East, Freehold, 1 Covered, 2, 1, ₹52 Lac, ₹3 852 per sqft
4 BHK Apartment for Sale in Vaishnodevi Circle Ahmedabad, None, 1816 sqft, Poss. by Dec '26, 8 out of 14,New Property, Unfurnished, East, Freehold, 2 Covered, 4, 2, ₹1.61 Cr, ₹4 889 per sqft
2 BHK Apartment for Sale in Malabar County  Vaishnodevi Circle Ahmedabad, Malabar County, 700 sqft, Ready to Move, 4 out of 12,Resale, Unfurnished, East, Freehold, 1 Covered, 2, 1, ₹53 Lac, ₹4 542 per sqft
4 BHK Apartment for Sale in Riviera Aspire  Shela Ahmedabad, Riviera Aspire, 3820 sqft, Poss. by Dec '26, 5 out of 19,New Property, Unfurnished, East, Freehold, 3 Covered, 3, 1, ₹1.91 Cr, ₹5 000 per sqft
3 BHK Apartment for Sale in VR Reflection  Shela Ahmedabad, VR Reflection, 968 sqft, Poss. by Jul '25, 9 out of 22,New Property, Unfurnished, East, Freehold, 1 Covered, 3, 1, ₹77 Lac, ₹4 400 per sqft
3 BHK Apartment for Sale in Maher Select  Shela Ahmedabad, Maher Select, 935 sqft, Poss. by Dec '24, 7 out of 14,New Property, Unfurnished, East, Freehold, 1 Covered, 3, 3, ₹85 Lac, ₹5 000 per sqft
3 BHK Apartment for Sale in Sindhu Bhavan Marg Ahmedabad, None, 1761 sqft, Poss. by Dec '24, 7 out of 14,Resale, Unfurnished, East, Freehold, 1 Covered , 3, 1, ₹94 Lac, ₹5 338 per sqft
5 BHK Apartment for Sale in Riviera Majestica  Shela Ahmedabad, Riviera Majestica, 2782 sqft, Poss. by Dec '25, 27 out of 33,Resale, Unfurnished, East, Freehold, 2 Covered , 7, 1, ₹3.02 Cr, ₹6 000 per sqft
4 BHK Apartment for Sale in Shilp Residency  Gota Ahmedabad, Shilp Residency, 1907 sqft, Poss. by Dec '25, 5 out of 14,New Property, Unfurnished, East, Freehold, 2 Covered, 4, 2, ₹1.53 Cr, ₹4 600 per sqft
3 BHK Apartment for Sale in Chharodi Ahmedabad, None, 1410 sqft, Poss. by Apr '25, 2 out of 14,New Property, Unfurnished, North - West, Freehold, 1 Covered, 3, 1, ₹1.28 Cr, ₹4 990 per sqft
4 BHK Apartment for Sale in Swati Crimson  Thaltej Ahmedabad, Swati Crimson, 2220 sqft, Ready to Move, 5 out of 12,Resale, Furnished, West, Freehold, 1 Covered, 5, 2, ₹4.50 Cr, ₹12 162 per sqft
3 BHK Apartment for Sale in Kadamb Greens  Zundal Ahmedabad, Kadamb Greens, 900 sqft, Ready to Move, 6 out of 7,Resale, Unfurnished, East, Freehold, None, 3, 1, ₹69.5 Lac, ₹4 413 per sqft
4 BHK Apartment for Sale in Indraprasth Shivanta  Ambli Ahmedabad, Indraprasth Shivanta, 1743 sqft, Poss. by Dec '24, 5 out of 21,New Property, Unfurnished, East, Freehold, 2 Covered, 3, 1, ₹1.95 Cr, ₹6 151 per sqft
3 BHK Apartment for Sale in Swastik Vivanta  South Bopal  Bopal Ahmedabad, Swastik Vivanta, 986 sqft, Ready to Move, 9 out of 13,New Property, Unfurnished, North - East, Freehold, 1 Covered, 3, 2, ₹75.6 Lac, ₹4 447 per sqft
4 BHK Apartment for Sale in Oeuvre 2  Bodakdev Ahmedabad, Oeuvre 2, 2430 sqft, Poss. by Jun '25, 12 out of 23,New Property, Unfurnished, East, Freehold, 3 Covered, 5, 2, ₹3.79 Cr, ₹8 902 per sqft
4 BHK Apartment for Sale in Silver Harmony 2  Gota Ahmedabad, Silver Harmony 2, 1701 sqft, Poss. by Dec '24, 12 out of 14,New Property, Unfurnished, East, Freehold, 2 Covered, 4, 1, ₹1.50 Cr, ₹5 291 per sqft
3 BHK Apartment for Sale in Kavisha AER  Shela Ahmedabad, Kavisha AER, 875 sqft, Poss. by Jun '26, 5 out of 14,New Property, Unfurnished, East, Freehold, 1 Covered, 3, 1, ₹75 Lac, ₹4 658 per sqft
3 BHK Apartment for Sale in Pacifica Reflections  Vaishnodevi Circle Ahmedabad, Pacifica Reflections, 1238 sqft, Ready to Move, 7 out of 14,Resale, Unfurnished, East, Freehold, 1 Covered , 3, 1, ₹90 Lac, ₹4 724 per sqft
3 BHK Apartment for Sale in Science City Ahmedabad, None, 175 sqyrd, Poss. by May '25, 3 out of 13,New Property, Unfurnished, East, Freehold, 2 Covered, 3, 1, ₹1.64 Cr, ₹5 778 per sqft
3 BHK Apartment for Sale in Satatya Syril  Gota Ahmedabad, Satatya Syril, 1277 sqft, Ready to Move, 11 out of 13,Resale, Unfurnished, East, Freehold, 2 Covered, 3, 1, ₹1.41 Cr, ₹6 072 per sqft
3 BHK Villa for Sale in South Bopal  Bopal Ahmedabad, None, 180 sqyrd, Ready to Move, None,Resale, Unfurnished, East, Freehold, None, 3, 2, ₹2 Cr, ₹11 111 per sqft
4 BHK Apartment for Sale in Ayaan  Ambli Ahmedabad, Ayaan, 1938 sqft, Poss. by Jun '25, 7 out of 22,New Property, Unfurnished, East, Freehold, 2 Covered, 5, 1, ₹2.98 Cr, ₹9 250 per sqft
4 BHK Apartment for Sale in Manor Ananda  Ambli Ahmedabad, Manor Ananda, 2146 sqft, Poss. by Dec '24, 9 out of 14,New Property, Unfurnished, East, Freehold, 3 Covered, 5, 1, ₹2.77 Cr, ₹7 500 per sqft
3 BHK Apartment for Sale in Prerna Shikhar Appartments  Bodakdev Ahmedabad, Prerna Shikhar Appartments, 1586 sqft, Ready to Move, 6 out of 10,Resale, Furnished, South, Co-operative Society, 1 Covered, 3, 1, ₹1.20 Cr, ₹5 674 per sqft
4 BHK Apartment for Sale in Madhav Oeuvre  Bodakdev Ahmedabad, Madhav Oeuvre, 2482 sqft, Poss. by Jun '25, 18 out of 24,New Property, Unfurnished, East, Freehold, 3 Covered, 4, 2, ₹3.63 Cr, ₹8 500 per sqft
4 BHK Apartment for Sale in Science City Ahmedabad, None, 272 sqyrd, Poss. by Dec '25, 9 out of 13,New Property, Unfurnished, East, Freehold, 2 Covered, 4, 1, ₹2.87 Cr, ₹6 444 per sqft
4 BHK Apartment for Sale in Iscon Vogue  Iscon Ambli Road Ahmedabad, Iscon Vogue, 3330 sqft, Poss. by Dec '26, 9 out of 20,New Property, Unfurnished, East, Freehold, 3 Covered, 5, 1, ₹4.89 Cr, ₹8 100 per sqft
3 BHK Apartment for Sale in Oryn Armonia  Hebatpur Ahmedabad, Oryn Armonia, 1564 sqft, Poss. by Feb '25, 4 out of 13,New Property, Unfurnished, East, Freehold, 1 Covered, 3, 1, ₹2.05 Cr, ₹7 208 per sqft
5 BHK Apartment for Sale in Swati Senor  Ambli Bopal Road Ahmedabad, Swati Senor, 7838 sqft, Poss. by Dec '25, 10 out of 21,New Property, Unfurnished, East, Co-operative Society, 4 Covered, 5, 1, ₹6.61 Cr, ₹8 433 per sqft
4 BHK Apartment for Sale in The Sovereign  Thaltej Ahmedabad, The Sovereign, 3187 sqft, Poss. by Dec '26, 12 out of 37,New Property, Unfurnished, East, Freehold, 1 Covered , 5, 1, ₹4.32 Cr, ₹7 185 per sqft
4 BHK Apartment for Sale in Paldi Ahmedabad, None, 405 sqyrd, Poss. by Mar '26, 1 out of 5,New Property, Unfurnished, East, Freehold, None, 3, 2, ₹2.18 Cr, ₹5 981 per sqft
4 BHK Apartment for Sale in ESSENCE 51  Thaltej Ahmedabad, ESSENCE 51, 3476 sqft, Poss. by Jun '26, None,New Property, Unfurnished, None, None, 1 Covered, 4, None, ₹2.33 Cr, ₹6 703 per sqft
4 BHK Apartment for Sale in Vertis by Shafalya  Science City Ahmedabad, Vertis by Shafalya, 2079 sqft, Ready to Move, 5 out of 13,Resale, Furnished, East, Freehold, 1 Covered, 4, 3, ₹3.70 Cr, ₹9 789 per sqft
3 BHK Apartment for Sale in Indraprasth Shivanta  Ambli Ahmedabad, Indraprasth Shivanta, 2400 sqft, Poss. by Dec '24, 5 out of 22,New Property, Unfurnished, East, Freehold, 1 Covered, 3, 1, ₹1.55 Cr, ₹6 458 per sqft
3 BHK Apartment for Sale in Turquoise Greenz  Shela Ahmedabad, Turquoise Greenz, 1700 sqft, Poss. by Dec '24, 7 out of 14,New Property, Unfurnished, East, Freehold, 1 Covered, 3, 1, ₹69 Lac, ₹4 059 per sqft
3 BHK Apartment for Sale in Orchid Harmony  South Bopal  Bopal Ahmedabad, Orchid Harmony, 1876 sqft, Ready to Move, 9 out of 17,Resale, Furnished, East, Freehold, 1 Covered, 3, 1, ₹1.15 Cr, ₹6 130 per sqft
3 BHK Apartment for Sale in Swarnim Sun  Ghuma Ahmedabad, Swarnim Sun, 1800 sqft, Poss. by Dec '25, None,New Property, Unfurnished, None, None, None, 3, None, ₹66 Lac, ₹3 667 per sqft
3 BHK Apartment for Sale in Sarkhej Gandhinagar Highway Ahmedabad, None, 2430 sqft, Poss. by Jun '24, 10 out of 14,New Property, Unfurnished, East, Freehold, 1 Covered, 3, 1, ₹1.21 Cr, ₹5 000 per sqft
3 BHK Apartment for Sale in Ambli Ahmedabad, None, 2100 sqft, Ready to Move, 4 out of 7,Resale, Furnished, East, Freehold, 1 Covered, 3, 1, ₹2.10 Cr, ₹10 000 per sqft
2 BHK Apartment for Sale in Narayan Krupal 1  Keshav Nagar Ahmedabad, Narayan Krupal 1, 990 sqft, Ready to Move, 3 out of 5,Resale, Unfurnished, West, Freehold, 1 Open, 2, 2, ₹55 Lac, ₹4 186 per sqft
4 BHK Villa for Sale in Adani The North Park  Vaishnodevi Circle Ahmedabad, Adani The North Park, 425 sqyrd, Poss. by Dec '25, None,New Property, Unfurnished, East, Freehold, 2 Covered , 5, 3, ₹7.50 Cr, ₹21 930 per sqft
4 BHK Apartment for Sale in Ambli Ahmedabad, None, 1972 sqft, Poss. by Jun '25, 6 out of 14,New Property, Unfurnished, East, Freehold, 2 Covered, 4, 1, ₹3.20 Cr, ₹9 412 per sqft
