property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
3 BHK Apartment for Sale in Krishnarajapura Bangalore, None, 2175 sqft, Poss. by Jun '24, None,New Property, Unfurnished, None, None, 1 Covered, 3, None, ₹1.91 Cr, ₹8 782 per sqft
3 BHK Apartment for Sale in Thanisandra Main Road Bangalore, None, 970 sqft, Poss. by Dec '28, None,New Property, Unfurnished, None, None, None, 2, None, ₹89 Lac, ₹9 175 per sqft
4 BHK Apartment for Sale in Hebbal Bangalore, L&T Raintree Boulevard, 2400 sqft, Ready to Move, 9 out of 16,Resale, Semi-Furnished, East, Freehold, None, 4, 2, ₹3.36 Cr, ₹12 086 per sqft
3 BHK Apartment for Sale in Hebbal Bangalore, Prestige Misty Waters, 1991 sqft, Ready to Move, 8 out of 18,Resale, Unfurnished, East, Freehold, None, 3, 2, ₹2.50 Cr, ₹12 557 per sqft
2 BHK Apartment for Sale in Thanisandra Main Road Bangalore, Orchid Piccadilly, 1160 sqft, Ready to Move, 4 out of 12,New Property, Unfurnished, North - East, Freehold, 1 Covered, 2, 2, ₹1.13 Cr, ₹9 741 per sqft
3 BHK Apartment for Sale in Jakkur Bangalore, Sobha HRC Pristine, 1600 sqft, Ready to Move, 12 out of 20,Resale, Unfurnished, East, Freehold, 1 Covered, 3, 2, ₹2.45 Cr, ₹12 895 per sqft
1 BHK Apartment for Sale in Varthur Bangalore, None, 422 sqft, Poss. by Dec '27, 5 out of 30,New Property, Unfurnished, East, Freehold, 1 Covered, 1, None, ₹60 Lac, ₹10 909 per sqft
3 BHK Apartment for Sale in Kanakapura Road Bangalore, Prestige Falcon City, 1550 sqft, Ready to Move, 20 out of 32,Resale, Semi-Furnished, West, Freehold, 1 Covered, 4, 2, ₹2.63 Cr, ₹14 709 per sqft
3 BHK Apartment for Sale in Phase 2 Electronic City Bangalore, None, 1104 sqft, Ready to Move, 1 out of 5,New Property, Unfurnished, East, Freehold, 1 Covered, 2, None, ₹57.2 Lac, ₹4 145 per sqft
3 BHK Apartment for Sale in Hebbal Bangalore, L&T Raintree Boulevard, 1600 sqft, Ready to Move, 1 out of 14,Resale, Unfurnished, East, Freehold, None, 3, 2, ₹3.25 Cr, ₹16 373 per sqft
2 BHK Apartment for Sale in Anchepalya Bangalore, None, 635 sqft, Ready to Move, 25 out of 30,Resale, Semi-Furnished, East, Freehold, 1 Covered , 2, 1, ₹1.08 Cr, ₹10 976 per sqft
4 BHK Apartment for Sale in Hebbal Bangalore, RMZ Latitude, 3500 sqft, Ready to Move, 9 out of 20,Resale, Semi-Furnished, North, Freehold, 1 Covered, 4, 1, ₹5.80 Cr, ₹14 891 per sqft
2 BHK Apartment for Sale in Hosa Road  off Hosur Road Bangalore, None, 1273 sqft, Ready to Move, 1 out of 4,New Property, Unfurnished, East, Freehold, 1 Covered, 2, 2, ₹72.6 Lac, ₹5 700 per sqft
4 BHK Villa for Sale in Defence Colony Indiranagar Bangalore, None, 6500 sqft, Ready to Move, None,Resale, Semi-Furnished, None, Freehold, 4 Covered, 5, 3, ₹20 Cr, ₹37 037 per sqft
3 BHK Apartment for Sale in Sompura Bangalore, None, 876 sqft, Poss. by Oct '24, 6 out of 12,New Property, Unfurnished, North, Power Of Attorney, 1 Covered, 2, 2, ₹80.8 Lac, ₹6 250 per sqft
2 BHK Apartment for Sale in Krishnarajapura Bangalore, None, 1200 sqft, Poss. by Dec '25, 2 out of 30,New Property, Unfurnished, East, Freehold, 1 Covered, 2, 2, ₹1.01 Cr, ₹7 500 per sqft
4 BHK Villa for Sale in Whitefield Bangalore, None, 2660 sqft, None, None,New Property, Semi-Furnished, None, None, 1 Covered, 3, None, ₹1.99 Cr, ₹7 514 per sqft
4 BHK Villa for Sale in Sarjapur Road Bangalore, None, 2323 sqft, Poss. by Jun '25, None,New Property, Unfurnished, None, None, 1 Covered, 3, None, ₹3.36 Cr, ₹14 479 per sqft
2 BHK Apartment for Sale in Tumkur Road Bangalore, None, 1163 sqft, Ready to Move, None,New Property, Unfurnished, None, None, 1 Covered, 2, None, ₹69 Lac, None
2 BHK Apartment for Sale in Bommasandra Bangalore, None, 1000 sqft, Poss. by Jan '26, None,New Property, Unfurnished, None, None, None, 2, None, ₹46 Lac, ₹4 599 per sqft
2 BHK Apartment for Sale in Thanisandra Bangalore, None, 1185 sqft, Ready to Move, 2 out of 4,New Property, Unfurnished, North, Freehold, 1 Covered, 2, 2, ₹63 Lac, ₹5 316 per sqft
