property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
3 BHK Builder Floor for Sale in Rajakilpakkam Chennai, None, 1660 sqft, Ready to Move, 1 out of 2,New Property, Unfurnished, North, Freehold, 1 Covered , 3, 1, ₹1.14 Cr, ₹6 900 per sqft
2 BHK Apartment for Sale in Porur Chennai, SIS Florence, 1162 sqft, Poss. by Dec '25, 7 out of 13,New Property, Furnished, East, Freehold, 1 Covered, 2, 2, ₹79 Lac, ₹6 800 per sqft
2 BHK Apartment for Sale in Kovilambakkam Chennai, TVS Emerald Elements, 900 sqft, Poss. by Jan '27, 5 out of 18,New Property, Unfurnished, East, Freehold, 1 Covered, 2, 1, ₹92 Lac, ₹8 720 per sqft
2 BHK Apartment for Sale in Siruseri Chennai, None, 380 sqft, Poss. by Dec '25, 4 out of 19,New Property, Unfurnished, North, Freehold, 1 Covered, 2, 1, ₹28 Lac, ₹4 000 per sqft
3 BHK Apartment for Sale in Porur Chennai, SIS Florence, 1274 sqft, Poss. by Dec '24, 5 out of 13,New Property, Unfurnished, East, Freehold, 1 Covered, 2, 1, ₹1.05 Cr, ₹8 299 per sqft
2 BHK Apartment for Sale in Madhavaram Chennai, None, 1183 sqft, Poss. by Nov '25, None,New Property, Unfurnished, None, None, None, 2, None, ₹80.4 Lac, ₹6 799 per sqft
2 BHK Apartment for Sale in Perumbakkam Chennai, None, 796 sqft, Ready to Move, None,New Property, Semi-Furnished, None, None, None, 2, None, ₹47 Lac, ₹5 905 per sqft
4 BHK Villa for Sale in Mangadu Chennai, None, 2409 sqft, Ready to Move, None,New Property, Unfurnished, None, None, 1 Covered, 4, None, ₹1.54 Cr, ₹6 400 per sqft
5 BHK Apartment for Sale in Thazhambur Chennai, None, 3628 sqft, Poss. by Jan '26, None,New Property, Unfurnished, None, None, None, 5, None, ₹1.80 Cr, ₹4 961 per sqft
1 BHK Apartment for Sale in Thirumazhisai Chennai, None, 633 sqft, Poss. by Mar '24, None,New Property, Unfurnished, None, None, None, 1, None, ₹40 Lac, ₹6 319 per sqft
3 BHK Builder Floor for Sale in Pammal Chennai, None, 1425 sqft, Ready to Move, 1 out of 3,New Property, Unfurnished, None, None, None, 2, None, ₹91.2 Lac, ₹6 400 per sqft
