property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
4 BHK Builder Floor for Sale in Phase 2 DLF Gurgaon, None, 2450 sqft, Ready to Move, 2 out of 4,Resale, Semi-Furnished, North - East, Freehold, 2 Covered , 4, 2, ₹3.14 Cr, ₹11 630 per sqft
3 BHK Apartment for Sale in Tata Gurgaon Gateway  Sector 112 Gurgaon, None, 1530 sqft, Ready to Move, 15 out of 21,Resale, Semi-Furnished, None, Freehold, 1 Covered, 3, 3, ₹3 Cr, ₹13 483 per sqft
3 BHK Builder Floor for Sale in Ashiana Amarah  New Gurgaon Gurgaon, None, 1550 sqft, Poss. by Dec '26, 2 out of 6,New Property, Semi-Furnished, North - East, Freehold, 1 Covered, 2, 2, ₹1.60 Cr, ₹10 323 per sqft
4 BHK Builder Floor for Sale in Sector 57 Gurgaon, None, 2700 sqft, Ready to Move, 4 out of 4,New Property, Semi-Furnished, North, Freehold, 2 Covered, 4, 3, ₹2.20 Cr, ₹8 148 per sqft
3 BHK Apartment for Sale in Elevate  Sector 59 Gurgaon, Elevate, 1500 sqft, Poss. by Dec '24, 22 out of 33,Resale, Semi-Furnished, North - West, Freehold, None, 4, 3, ₹4.85 Cr, ₹21 133 per sqft
3 BHK Apartment for Sale in Trehan Luxury Floors  Golf Course Extension Road Gurgaon, Trehan Luxury Floors, 1350 sqft, Poss. by Apr '25, 1 out of 3,New Property, Semi-Furnished, North - East, Freehold, 1 Covered, 3, 3, ₹1.90 Cr, ₹11 515 per sqft
4 BHK Builder Floor for Sale in Phase 1 DLF Gurgaon, None, 3000 sqft, Ready to Move, None,Resale, Semi-Furnished, North - East, Freehold, 2 Covered , 4, 3, ₹6.75 Cr, ₹15 000 per sqft
4 BHK Builder Floor for Sale in Phase 1 DLF Gurgaon, None, 1900 sqft, Ready to Move, 1 out of 4,Resale, Semi-Furnished, None, Freehold, 2 Covered , 4, 2, ₹4.05 Cr, ₹15 000 per sqft
2 BHK Apartment for Sale in Shapoorji Pallonji Joyville  Sector 102 Gurgaon, Shapoorji Pallonji Joyville, 1150 sqft, Ready to Move, 9 out of 18,Resale, Semi-Furnished, North - East, Freehold, 1 Covered, 2, 2, ₹1.68 Cr, ₹12 281 per sqft
4 BHK Apartment for Sale in Bestech Park View Spa Next  Sector 67 Gurgaon, Bestech Park View Spa Next, 1900 sqft, Ready to Move, 10 out of 12,Resale, Semi-Furnished, East, Freehold, 2 Covered, 5, 5, ₹3.70 Cr, ₹13 780 per sqft
3 BHK Apartment for Sale in Conscient Heritage Max  Sector 102 Gurgaon, Conscient Heritage Max, 1600 sqft, Ready to Move, 24 out of 25,Resale, Semi-Furnished, North - East, Freehold, 2 Covered, 4, 4, ₹2.30 Cr, ₹10 703 per sqft
2 BHK Apartment for Sale in M3M Heights  Sector 65 Gurgaon, M3M Heights, 1061 sqft, Ready to Move, 20 out of 35,Resale, Furnished, East, Freehold, 1 Covered, 2, 2, ₹1.90 Cr, ₹15 067 per sqft
4 BHK Apartment for Sale in Adani M2K Oyster Grande  Sector 102 Gurgaon, Adani M2K Oyster Grande, 3200 sqft, Ready to Move, 4 out of 24,Resale, Semi-Furnished, East, Freehold, 1 Covered, 4, 4, ₹3.50 Cr, ₹10 938 per sqft
4 BHK Apartment for Sale in Sector 102 Gurgaon, None, 2200 sqft, Ready to Move, 5 out of 5,Resale, Semi-Furnished, North - East, Freehold, 2 Covered, 5, 5, ₹3 Cr, ₹9 375 per sqft
4 BHK Apartment for Sale in DLF The Arbour  Sector 63 Gurgaon, DLF The Arbour, 2800 sqft, Poss. by Mar '30, 5 out of 39,Resale, Furnished, East, Freehold, 2 Covered, 4, 2, ₹7.50 Cr, ₹18 987 per sqft
2 BHK Apartment for Sale in Sector 89 Gurgaon, None, 1605 sqft, Poss. by Oct '24, 10 out of 21,New Property, Unfurnished, East, Freehold, 1 Covered, 2, 2, ₹1.50 Cr, ₹9 346 per sqft
3 BHK Apartment for Sale in Sector 67 Gurgaon, None, 1922 sqft, Ready to Move, 1 out of 18,Resale, Semi-Furnished, North - East, Freehold, 1 Covered , 3, 2, ₹2.20 Cr, ₹10 000 per sqft
3 BHK Apartment for Sale in ATS Marigold  Sector 89A Gurgaon, ATS Marigold, 2000 sqft, Ready to Move, 9 out of 24,Resale, Unfurnished, East, Freehold, 2 Covered, 4, 4, ₹2.65 Cr, ₹10 000 per sqft
3 BHK Apartment for Sale in Ramprastha The View  Sector 37D  Delhi Gurgaon Expressway Gurgaon, Ramprastha The View, 1400 sqft, Ready to Move, 5 out of 13,Resale, Semi-Furnished, North - East, Freehold, 1 Covered , 3, 3, ₹1 Cr, ₹6 734 per sqft
3 BHK Apartment for Sale in Central Park 2  Sector 48 Gurgaon, Central Park 2, 2000 sqft, Ready to Move, 14 out of 17,Resale, Semi-Furnished, North - East, Freehold, 2 Covered, 4, 3, ₹6.90 Cr, ₹28 003 per sqft
4 BHK Apartment for Sale in Emaar The Palm Springs  Golf Course Road Gurgaon, Emaar The Palm Springs, 3000 sqft, Ready to Move, 5 out of 17,Resale, Semi-Furnished, East, Freehold, 3 Covered, 4, 3, ₹11 Cr, ₹28 205 per sqft
3 BHK Apartment for Sale in ATS Tourmaline  Sector 109 Gurgaon, ATS Tourmaline, 1800 sqft, Ready to Move, 8 out of 26,Resale, Semi-Furnished, North - East, Freehold, 2 Covered , 4, 4, ₹2.10 Cr, ₹9 767 per sqft
3 BHK Apartment for Sale in Elevate  Golf Course Extension Road Gurgaon, Elevate, 1159 sqft, Ready to Move, 16 out of 32,New Property, Semi-Furnished, North - East, Freehold, 1 Covered, 3, 3, ₹4.30 Cr, ₹20 525 per sqft
4 BHK Apartment for Sale in DLF Park Place  Sector 54 Gurgaon, DLF Park Place, 2200 sqft, Ready to Move, 8 out of 30,Resale, Semi-Furnished, East, Freehold, 3 Covered, 4, 3, ₹7.65 Cr, ₹28 312 per sqft
3 BHK Apartment for Sale in M3M Golf Hills Phase 1  Sector 79 Gurgaon, None, 2260 sqft, Poss. by Feb '31, None,New Property, Unfurnished, None, None, 1 Covered, 2, None, ₹3.58 Cr, ₹15 841 per sqft
2 BHK Apartment for Sale in M3M Skycity  Sector 65 Gurgaon, None, 1261 sqft, Poss. by May '24, None,New Property, Unfurnished, None, None, None, 2, None, ₹2.10 Cr, ₹16 653 per sqft
3 BHK Apartment for Sale in Smartworld The Edition  Sector 66 Gurgaon, None, 3035 sqft, Poss. by Feb '31, None,New Property, Semi-Furnished, None, None, 1 Covered, 3, None, ₹5.67 Cr, ₹18 682 per sqft
3 BHK  House for Sale in Vatika India Next Plots  Sector 83 Gurgaon, None, 1800 sqft, Ready to Move, 2 out of 4,New Property, Furnished, East, Freehold, 2 Covered, 3, 2, ₹1.90 Cr, ₹8 444 per sqft
3 BHK Apartment for Sale in Sector 102 Gurgaon, None, 1650 sqft, Ready to Move, 5 out of 12,New Property, Unfurnished, North - East, Freehold, 1 Covered , 3, 2, ₹1.55 Cr, ₹9 394 per sqft
4 BHK Apartment for Sale in Sushant Lok Gurgaon, None, 2700 sqft, Ready to Move, 2 out of 4,New Property, Semi-Furnished, North, Freehold, 2 Covered, 2, 1, ₹3.75 Cr, ₹13 889 per sqft
3 BHK Apartment for Sale in SS Cendana  Sector 83 Gurgaon, None, 1450 sqft, Poss. by Aug '27, None,New Property, Semi-Furnished, None, None, 1 Covered, 3, None, ₹1.48 Cr, ₹10 207 per sqft
2 BHK Apartment for Sale in M3M Antalya Hills Phase II  Sector 79 Gurgaon, None, 1171 sqft, Poss. by Mar '26, None,New Property, Unfurnished, None, None, None, 2, None, ₹1.24 Cr, ₹10 589 per sqft
3 BHK Builder Floor for Sale in MRG Crown  Sector 106 Gurgaon, None, 1503 sqft, Poss. by Nov '27, None,New Property, Semi-Furnished, None, None, 1 Covered, 3, None, ₹2.14 Cr, ₹14 250 per sqft
4 BHK Builder Floor for Sale in Aradhya Homes  Sector 67A Gurgaon, None, 2450 sqft, Ready to Move, None,New Property, Semi-Furnished, None, None, 1 Covered, 4, None, ₹3.20 Cr, ₹13 061 per sqft
2 BHK Apartment for Sale in Dharuhera Gurgaon, None, 700 sqft, Poss. by Dec '25, Lower Basement out of 5,New Property, Unfurnished, South -West, Freehold, 1 Covered , 2, 3, ₹47 Lac, ₹4 000 per sqft
4 BHK Apartment for Sale in Trump Tower  Sector 65 Gurgaon, Trump Tower, 4000 sqft, Poss. by Nov '24, 28 out of 47,New Property, Semi-Furnished, North - East, Freehold, 3 Covered, 5, 4, ₹17 Cr, ₹28 099 per sqft
4 BHK Apartment for Sale in Birla Navya Avik Phase 1  Sector 63A Gurgaon, Birla Navya Avik Phase 1, 2560 sqft, Poss. by Apr '27, 2 out of 4,New Property, Furnished, East, Freehold, 2 Covered, 4, 2, ₹6.50 Cr, ₹20 312 per sqft
4 BHK Apartment for Sale in Godrej Meridien  Sector 106 Gurgaon, Godrej Meridien, 2165 sqft, Ready to Move, 14 out of 32,New Property, Semi-Furnished, East, Freehold, 3 Covered, 5, 4, ₹3.90 Cr, ₹14 338 per sqft
