property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
3 BHK Apartment for Sale in Ekta Tripolis  Goregaon West Mumbai, None, 1084 sqft, Ready to Move, None,New Property, Semi-Furnished, East, Co-operative Society, 2 Covered, 3, 1, ₹3.63 Cr, ₹20 934 per sqft
2 BHK Apartment for Sale in Lodha Allura  Worli Mumbai, Lodha Allura, 893 sqft, Ready to Move, None,Resale, Semi-Furnished, West, Freehold, 1 Covered, 3, None, ₹4.25 Cr, ₹31 599 per sqft
4 BHK Apartment for Sale in Windsor Grande Residences  Andheri West Mumbai, Windsor Grande Residences, 2350 sqft, Ready to Move, 12 out of 33,Resale, Semi-Furnished, North - East, Co-operative Society, 2 Covered, 4, 5, ₹12.75 Cr, ₹38 636 per sqft
3 BHK Apartment for Sale in Kanakia Rainforest  Andheri East Mumbai, Kanakia Rainforest, 750 sqft, Ready to Move, 3 out of 16,Resale, Unfurnished, North, Freehold, 1 Covered, 2, None, ₹2.40 Cr, ₹25 263 per sqft
3 BHK Apartment for Sale in Runwal Bliss  Kanjurmarg East Mumbai, Runwal Bliss, 1085 sqft, Ready to Move, 20 out of 50,Resale, Semi-Furnished, East, Freehold, 1 Covered, 3, 1, ₹3.14 Cr, ₹18 150 per sqft
1 BHK Apartment for Sale in Wadala East Mumbai, None, 512 sqft, Ready to Move, None,Resale, Semi-Furnished, East, Freehold, None, 1, 2, ₹1.65 Cr, ₹22 917 per sqft
3 BHK Apartment for Sale in Piramal Revanta  Mulund West Mumbai, Piramal Revanta, 1300 sqft, Ready to Move, 18 out of 36,Resale, Semi-Furnished, East, Freehold, 2 Covered, 3, None, ₹3.58 Cr, ₹21 059 per sqft
4 BHK Apartment for Sale in Oberoi Sky City  Borivali East Mumbai, Oberoi Sky City, 1650 sqft, Ready to Move, 59 out of 61,New Property, Unfurnished, East, Freehold, None, 3, 1, ₹6.95 Cr, ₹42 121 per sqft
4 BHK Apartment for Sale in Vile Parle West Mumbai, None, 2200 sqft, Ready to Move, 5 out of 7,Resale, Furnished, East, Co-operative Society, 2 Covered, 4, None, ₹10 Cr, ₹44 444 per sqft
2 BHK Apartment for Sale in L&T Emerald Isle  Powai Mumbai, L&T Emerald Isle, 740 sqft, Ready to Move, None,Resale, Unfurnished, North - East, Freehold, 1 Covered, 2, None, ₹2.80 Cr, ₹27 723 per sqft
3 BHK Apartment for Sale in Sunteck City Avenue 1  Goregaon West Mumbai, Sunteck City Avenue 1, 1100 sqft, Ready to Move, 21 out of 30,Resale, Semi-Furnished, North - East, Freehold, None, 3, 3, ₹3.50 Cr, ₹25 926 per sqft
4 BHK Apartment for Sale in Runwal Greens  Mulund West Mumbai, None, 2000 sqft, Ready to Move, 12 out of 38,Resale, Semi-Furnished, East, Freehold, 3 Covered, 6, 5, ₹5.30 Cr, ₹22 083 per sqft
4 BHK Apartment for Sale in Bandra West Mumbai, None, 1565 sqft, Ready to Move, 7 out of 9,Resale, Semi-Furnished, East, Freehold, 1 Covered, 5, 3, ₹8.50 Cr, ₹47 222 per sqft
2 BHK Apartment for Sale in Godrej Horizon  Wadala Mumbai, None, 689 sqft, Poss. by Jun '27, 30 out of 44,New Property, Unfurnished, West, Freehold, 1 Covered, 2, 1, ₹2.60 Cr, ₹23 636 per sqft
3 BHK Apartment for Sale in Lodha Park Tower 6 Adrina  Worli Mumbai, Lodha Park Tower 6 Adrina, 1500 sqft, Poss. by Dec '25, 12 out of 60,New Property, Unfurnished, None, Freehold, None, 3, None, ₹7.50 Cr, ₹50 000 per sqft
3 BHK Apartment for Sale in Jacob Circle Mumbai, None, 1740 sqft, Poss. by Dec '26, 13 out of 41,New Property, Furnished, West, Freehold, 2 Covered, 5, 1, ₹10.50 Cr, ₹60 345 per sqft
3 BHK Apartment for Sale in HDIL Metropolis  Andheri West Mumbai, HDIL Metropolis, 1300 sqft, Ready to Move, None,Resale, Unfurnished, West, Co-operative Society, 2 Covered, 3, 2, ₹3.45 Cr, ₹20 909 per sqft
2 BHK Apartment for Sale in Fortune Florence  Borivali East Mumbai, None, 763 sqft, Poss. by Dec '26, None,New Property, Unfurnished, None, None, 1 Covered, 2, None, ₹1.84 Cr, ₹20 109 per sqft
3 BHK Apartment for Sale in Lodha The World Towers  Lower Parel Mumbai, None, 1880 sqft, Ready to Move, 51 out of 60,Resale, Semi-Furnished, East, Co-operative Society, 2 Covered, 4, 3, ₹9.51 Cr, ₹50 585 per sqft
1 BHK Apartment for Sale in Kanakia Silicon Valley  Powai Mumbai, Kanakia Silicon Valley, 430 sqft, Ready to Move, None,Resale, Unfurnished, East, Freehold, 1 Covered, 1, None, ₹1.55 Cr, ₹23 846 per sqft
1 BHK Apartment for Sale in Hiranandani Regent Hill  Powai Mumbai, Hiranandani Regent Hill, 380 sqft, Ready to Move, 18 out of 23,Resale, Semi-Furnished, East, Co-operative Society, 1 Covered, 2, None, ₹1.53 Cr, ₹25 500 per sqft
4 BHK Apartment for Sale in Tenth Avenue  Juhu Mumbai, Tenth Avenue, 2000 sqft, Poss. by Aug '25, 9 out of 10,New Property, Unfurnished, West, Freehold, 3 Covered, 4, 2, ₹12 Cr, ₹37 500 per sqft
2 BHK Apartment for Sale in Pinnacolo NX  Mira Road East Mumbai, Pinnacolo NX, 714 sqft, Ready to Move, 20 out of 21,New Property, Semi-Furnished, East, Freehold, 1 Open, 2, 4, ₹89 Lac, ₹8 396 per sqft
2 BHK Apartment for Sale in Runwal Chestnut  Mulund West Mumbai, Runwal Chestnut, 755 sqft, Ready to Move, 19 out of 22,Resale, Semi-Furnished, North - East, Freehold, 1 Covered, 2, 3, ₹1.75 Cr, ₹16 667 per sqft
1 BHK Apartment for Sale in Arkade Earth  Kanjurmarg East Mumbai, Arkade Earth, 402 sqft, Ready to Move, 1 out of 22,Resale, Unfurnished, East, Freehold, 1 Covered, 2, None, ₹1.15 Cr, ₹25 556 per sqft
3 BHK Apartment for Sale in Kailash Tower  Kandivali West Mumbai, Kailash Tower, 1150 sqft, Ready to Move, 1 out of 16,Resale, Semi-Furnished, East, Freehold, 1 Open, 3, None, ₹3 Cr, ₹16 304 per sqft
3 BHK Apartment for Sale in Lodha Kiara  Worli Mumbai, Lodha Kiara, 1200 sqft, Ready to Move, None,New Property, Furnished, East, Freehold, 2 Covered, 4, None, ₹7.07 Cr, ₹50 973 per sqft
2 BHK Apartment for Sale in Virar West Mumbai, None, 770 sqft, Ready to Move, None,Resale, Semi-Furnished, East, Co-operative Society, 1 Open, 2, 2, ₹72 Lac, ₹7 579 per sqft
3 BHK Apartment for Sale in Vasudev Paradise  Mira Road East Mumbai, Vasudev Paradise, 958 sqft, Ready to Move, 13 out of 22,New Property, Unfurnished, East, Freehold, None, 3, 5, ₹1.36 Cr, ₹9 464 per sqft
2 BHK Apartment for Sale in Unimont 24 Karat  Jogeshwari West Mumbai, Unimont 24 Karat, 685 sqft, Poss. by Dec '27, 10 out of 22,New Property, Unfurnished, West, Freehold, 1 Covered, 2, None, ₹1.84 Cr, ₹25 379 per sqft
2 BHK Apartment for Sale in Kanakia Silicon Valley  Powai Mumbai, Kanakia Silicon Valley, 738 sqft, Ready to Move, 18 out of 22,New Property, Unfurnished, East, Freehold, 1 Covered, 2, None, ₹2.70 Cr, ₹24 545 per sqft
3 BHK Apartment for Sale in Shapoorji Pallonji Vicinia  Powai Mumbai, Shapoorji Pallonji Vicinia, 1016 sqft, Ready to Move, 10 out of 23,Resale, Semi-Furnished, East, Freehold, 2 Covered, 3, 1, ₹3.20 Cr, ₹21 333 per sqft
3 BHK Apartment for Sale in Godrej Platinum  Vikhroli East Mumbai, Godrej Platinum, 1100 sqft, Ready to Move, 21 out of 26,Resale, Unfurnished, West, Freehold, 2 Covered, 3, None, ₹4.85 Cr, ₹38 800 per sqft
2 BHK Apartment for Sale in Lodha Altia  Wadala East Mumbai, Lodha Altia, 906 sqft, Ready to Move, 16 out of 38,New Property, Semi-Furnished, East, Freehold, 1 Covered, 2, 3, ₹3.10 Cr, ₹34 216 per sqft
2 BHK Apartment for Sale in Vasudev Paradise  Mira Road East Mumbai, Vasudev Paradise, 700 sqft, Ready to Move, 15 out of 25,New Property, Unfurnished, West, Freehold, 1 Covered, 2, 4, ₹1 Cr, ₹9 569 per sqft
3 BHK Apartment for Sale in Tridhaatu Aranya  Chembur Mumbai, Tridhaatu Aranya, 1681 sqft, Ready to Move, 17 out of 32,New Property, Unfurnished, East, Freehold, None, 4, 2, ₹7.10 Cr, None
2 BHK Apartment for Sale in Kabra Tilak Apartments  Goregaon West Mumbai, Kabra Tilak Apartments, 666 sqft, Ready to Move, 2 out of 7,Resale, Unfurnished, South, Freehold, None, 2, 1, ₹1.80 Cr, ₹27 027 per sqft
5 BHK Apartment for Sale in Mahalakshmi Mumbai, None, 1600 sqft, Ready to Move, 10 out of 21,Resale, Furnished, West, Co-operative Society, None, 4, None, ₹5.53 Cr, ₹30 722 per sqft
3 BHK Apartment for Sale in Lodha Park  Worli Mumbai, Lodha Park, 975 sqft, Ready to Move, 35 out of 77,Resale, Semi-Furnished, East, Freehold, 2 Covered, 3, None, ₹4.95 Cr, ₹31 093 per sqft
