property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
4 BHK Apartment for Sale in East End Apartments  Mayur Vihar 1 New Delhi, East End Apartments, 1450 sqft, Ready to Move, 6 out of 8,Resale, Unfurnished, East, None, None, 3, 1, ₹2 Cr, ₹12 121 per sqft
3 BHK Apartment for Sale in Antriksh Shivalik Apartments  Sector 6 Dwarka New Delhi, Antriksh Shivalik Apartments, 1750 sqft, Ready to Move, Ground out of 5,Resale, Semi-Furnished, North - East, Freehold, 1 Covered , 2, 1, ₹2.05 Cr, ₹10 789 per sqft
4 BHK Apartment for Sale in Saket New Delhi, None, 200 sqyrd, Ready to Move, 4 out of 4,New Property, Semi-Furnished, South - East, Freehold, 1 Covered, 4, 2, ₹1.35 Cr, ₹6 818 per sqft
4 BHK Apartment for Sale in DDA Flats Vasant Kunj  Vasant Kunj New Delhi, DDA Flats Vasant Kunj, 2200 sqft, Ready to Move, Ground out of 3,Resale, Furnished, North - East, Freehold, 3 Open, 3, 3, ₹3.51 Cr, ₹14 040 per sqft
4 BHK Builder Floor for Sale in Rwa GK 1  Greater Kailash 1 New Delhi, Rwa GK 1, 500 sqyrd, Ready to Move, Ground out of 3,New Property, Semi-Furnished, North - East, Freehold, 1 Covered, 2, 2, ₹8 Cr, ₹17 778 per sqft
4 BHK Builder Floor for Sale in Vasant Vihar New Delhi, None, 400 sqyrd, Ready to Move, 3 out of 3,Resale, Semi-Furnished, South - East, Freehold, None, 3, 3, ₹13.60 Cr, ₹37 778 per sqft
4 BHK Builder Floor for Sale in Sector 24 Rohini New Delhi, None, 1750 sqft, Ready to Move, 1 out of 4,New Property, Semi-Furnished, North - East, Freehold, 1 Covered , 3, 1, ₹2.30 Cr, ₹12 778 per sqft
4 BHK Apartment for Sale in Vedanta  Sector 23 Dwarka New Delhi, Vedanta, 2800 sqft, Ready to Move, 8 out of 10,Resale, Unfurnished, North - East, Freehold, None, 4, 4, ₹3.60 Cr, ₹12 000 per sqft
4 BHK Builder Floor for Sale in Punjabi Bagh New Delhi, None, 3780 sqft, Ready to Move, 2 out of 4,New Property, Semi-Furnished, East, Freehold, 3 Covered , 5, 2, ₹7.40 Cr, ₹18 500 per sqft
3 BHK Builder Floor for Sale in Chattarpur New Delhi, None, 1300 sqft, Ready to Move, 2 out of 4,New Property, Semi-Furnished, East, Freehold, 1 Covered, 2, 1, ₹1.08 Cr, ₹8 019 per sqft
3 BHK Apartment for Sale in DLF Capital Greens 1 and 2  Moti Nagar  Kirti Nagar New Delhi, DLF Capital Greens 1 and 2, 1100 sqft, Ready to Move, 16 out of 24,Resale, Semi-Furnished, North - East, Freehold, 1 Covered, 2, 4, ₹2.30 Cr, ₹14 839 per sqft
4 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi, None, 3750 sqft, Ready to Move, 3 out of 4,New Property, Semi-Furnished, North - East, Freehold, 3 Covered , 5, 5, ₹12.75 Cr, ₹28 333 per sqft
3 BHK Builder Floor for Sale in Vasant Kunj New Delhi, None, 1150 sqft, Ready to Move, 4 out of 5,New Property, Semi-Furnished, North - West, Freehold, 1 Covered, 3, 1, ₹1.10 Cr, ₹8 462 per sqft
4 BHK Builder Floor for Sale in Vivek Vihar New Delhi, None, 2700 sqft, Ready to Move, 4 out of 4,New Property, Furnished, East, Freehold, None, 4, 2, ₹5 Cr, ₹18 519 per sqft
5 BHK Builder Floor for Sale in Sector 24 Rohini New Delhi, None, 1350 sqft, Ready to Move, 4 out of 4,New Property, Semi-Furnished, South -West, Freehold, 1 Covered , 3, 1, ₹1.18 Cr, ₹8 138 per sqft
3 BHK Builder Floor for Sale in Govindpuri New Delhi, None, 90 sqyrd, Ready to Move, 3 out of 4,New Property, Semi-Furnished, South - East, Freehold, None, 2, 1, ₹45 Lac, ₹5 556 per sqft
