property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
3 BHK Apartment for Sale in Sector 115 Noida, Ivory County, 1255 sqft, Poss. by Dec '27, 12 out of 28,New Property, Semi-Furnished, North - East, Leasehold, 1 Covered, 3, 3, ₹2.54 Cr, ₹12 488 per sqft
3 BHK Apartment for Sale in Sector 115 Noida, None, 1255 sqft, Poss. by Sep '27, 8 out of 29,New Property, Semi-Furnished, North - East, Leasehold, 1 Covered, 3, 4, ₹2.45 Cr, ₹12 047 per sqft
3 BHK Apartment for Sale in Sector 115 Noida, Ivory County, 2304 sqft, Poss. by Apr '28, 16 out of 29,Resale, Semi-Furnished, North - East, Leasehold, None, 3, 3, ₹2.61 Cr, ₹11 328 per sqft
2 BHK Apartment for Sale in Sector 150  Pusta Road Noida, Godrej Nurture, 1262 sqft, Poss. by Dec '24, 11 out of 18,Resale, Semi-Furnished, North - East, Leasehold, 1 Covered, 2, 3, ₹1.26 Cr, ₹9 984 per sqft
4 BHK Apartment for Sale in Sector 150  Pusta Road Noida, ATS Pristine, 2250 sqft, Ready to Move, 19 out of 24,Resale, Semi-Furnished, North - East, Leasehold, None, 4, 4, ₹3.85 Cr, None
3 BHK Apartment for Sale in Noida Greater Noida Expressway Noida, Jaypee Greens Klassic, 1100 sqft, Ready to Move, 7 out of 12,Resale, Semi-Furnished, North - East, Leasehold, 1 Covered, 3, 2, ₹1.10 Cr, ₹7 006 per sqft
3 BHK Apartment for Sale in Sector 94  Noida Express Way Noida, Supertech Supernova, 2105 sqft, Ready to Move, 3 out of 44,Resale, Semi-Furnished, North - East, Leasehold, 1 Covered, 3, 3, ₹2.50 Cr, ₹11 876 per sqft
3 BHK Apartment for Sale in Sector 115 Noida, Ivory County, 2034 sqft, Poss. by Jul '27, 8 out of 29,Resale, Semi-Furnished, South - East, Leasehold, None, 3, 3, ₹2.65 Cr, ₹13 029 per sqft
3 BHK Apartment for Sale in Sector 115 Noida, Ivory County, 1600 sqft, Poss. by Jul '28, 20 out of 29,New Property, Furnished, North - East, Leasehold, 1 Covered, 4, 4, ₹2.90 Cr, ₹12 604 per sqft
3 BHK Apartment for Sale in Sector 115 Noida, Ivory County, 1255 sqft, Poss. by Jul '28, 7 out of 25,New Property, Semi-Furnished, North, Leasehold, 1 Covered, 3, 4, ₹2.84 Cr, ₹14 000 per sqft
