property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
3 BHK Apartment for Sale in Kolte Patil Life Republic  Hinjawadi Pune, Kolte Patil Life Republic, 1188 sqft, Ready to Move, 8 out of 22,Resale, Unfurnished, East, Freehold, 1 Covered, 3, 3, ₹98.5 Lac, ₹6 355 per sqft
2 BHK Apartment for Sale in Aswani Rose Garden  Viman Nagar Pune, Aswani Rose Garden, 1000 sqft, Ready to Move, 3 out of 6,Resale, Semi-Furnished, East, Freehold, 1 Covered, 2, 1, ₹1 Cr, ₹8 333 per sqft
4 BHK Apartment for Sale in VTP Earth One  Mahalunge Pune, VTP Earth One, 1766 sqft, Poss. by Dec '27, 12 out of 35,New Property, Unfurnished, East, Freehold, 1 Covered , 4, 3, ₹2.11 Cr, ₹8 536 per sqft
2 BHK Apartment for Sale in The Legend  Hinjawadi Pune, The Legend, 777 sqft, Ready to Move, 1 out of 14,New Property, Unfurnished, East, Freehold, 1 Covered, 2, 1, ₹64.9 Lac, ₹6 187 per sqft
2 BHK Apartment for Sale in Hinjawadi Pune, None, 674 sqft, Poss. by Dec '27, 3 out of 22,New Property, Unfurnished, East, Leasehold, 1 Covered, 2, 1, ₹59.9 Lac, ₹6 352 per sqft
3 BHK Apartment for Sale in Riverdale Residences  Kharadi Pune, Riverdale Residences, 1065 sqft, Ready to Move, 19 out of 28,Resale, Unfurnished, East, Freehold, 1 Covered, 3, 2, ₹1.54 Cr, ₹10 336 per sqft
2 BHK Apartment for Sale in The Rising  Ravet  Pimpri Chinchwad Pune, The Rising, 801 sqft, Poss. by Dec '26, 13 out of 22,New Property, Semi-Furnished, East, Freehold, 1 Covered, 2, 1, ₹67.5 Lac, ₹6 244 per sqft
3 BHK Apartment for Sale in Tathawade Pimpri Chinchwad Pune, None, 992 sqft, Poss. by Dec '26, 5 out of 14,New Property, Unfurnished, East, Freehold, 1 Covered, 3, 3, ₹90 Lac, ₹6 000 per sqft
2 BHK Apartment for Sale in Life Republic Aros  Hinjawadi Pune, None, 836 sqft, Poss. by Dec '26, 10 out of 22,New Property, Unfurnished, East, Freehold, 1 Covered, 2, 2, ₹70 Lac, ₹6 009 per sqft
3 BHK Apartment for Sale in Presidia  NIBM Road Pune, Presidia, 1388 sqft, Ready to Move, 4 out of 13,New Property, Semi-Furnished, North - West, Freehold, 2 Covered, 4, 1, ₹1.78 Cr, ₹9 498 per sqft
