property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
4 BHK Apartment for Sale in Organic Homes  National Highway 24 Ghaziabad, Organic Homes, 1812 sqft, Ready to Move, None,New Property, Semi-Furnished, East, Freehold, 2 Covered, 4, 4, ₹1.32 Cr, ₹5 775 per sqft
4 BHK Builder Floor for Sale in Indirapuram Ghaziabad, None, 1650 sqft, Ready to Move, Ground out of 4,Resale, Semi-Furnished, East, Freehold, 1 Covered , 3, 2, ₹1.10 Cr, ₹6 433 per sqft
3 BHK Builder Floor for Sale in Rajendra Nagar Ghaziabad, None, 1000 sqft, Ready to Move, 1 out of 4,New Property, Semi-Furnished, East, Freehold, 1 Covered, 2, 1, ₹52.1 Lac, ₹4 342 per sqft
2 BHK Builder Floor for Sale in Indirapuram Ghaziabad, None, 900 sqft, Ready to Move, 1 out of 4,New Property, Semi-Furnished, East, Freehold, 1 Covered , 2, 1, ₹51 Lac, ₹4 857 per sqft
3 BHK Apartment for Sale in DigiTown  Siddharth Vihar Ghaziabad, DigiTown, 1100 sqft, Poss. by Dec '24, 4 out of 28,New Property, Unfurnished, North - East, Freehold, None, 2, 3, ₹1 Cr, ₹7 003 per sqft
3 BHK Builder Floor for Sale in Indirapuram Ghaziabad, None, 1400 sqft, Ready to Move, 1 out of 4,New Property, Semi-Furnished, East, Freehold, 1 Covered , 2, 1, ₹1.05 Cr, ₹7 000 per sqft
3 BHK Builder Floor for Sale in Indirapuram Ghaziabad, None, 1000 sqft, Ready to Move, 1 out of 4,New Property, Semi-Furnished, East, Freehold, 1 Covered , 3, 2, ₹90.8 Lac, ₹6 985 per sqft
3 BHK Apartment for Sale in Windsor Paradise 2  Raj Nagar Extension Ghaziabad, Windsor Paradise 2, 1295 sqft, Ready to Move, 10 out of 24,New Property, Unfurnished, North - East, Freehold, None, 2, 3, ₹64.1 Lac, ₹4 950 per sqft
3 BHK Apartment for Sale in Vasu Fortune Residency Phase II  Raj Nagar Extension Ghaziabad, Vasu Fortune Residency Phase II, 1100 sqft, Ready to Move, 1 out of 14,Resale, Semi-Furnished, East, Freehold, 1 Covered , 2, 2, ₹73 Lac, ₹5 309 per sqft
2 BHK Apartment for Sale in SVP Gulmohar Garden Phase 2  Raj Nagar Extension Ghaziabad, SVP Gulmohar Garden Phase 2, 860 sqft, Ready to Move, 5 out of 14,Resale, Semi-Furnished, East, Freehold, None, 2, 3, ₹50 Lac, ₹4 854 per sqft
4 BHK Builder Floor for Sale in Gyan Khand 2  Indirapuram Ghaziabad, Gyan Khand 2, 1506 sqft, Ready to Move, 1 out of 3,New Property, Unfurnished, North - East, Freehold, 1 Covered , 3, 2, ₹1.30 Cr, ₹7 560 per sqft
2 BHK Apartment for Sale in Trine Towers  Indirapuram Ghaziabad, None, 1275 sqft, Ready to Move, None,New Property, Unfurnished, None, None, 1 Covered, 2, None, ₹82.9 Lac, ₹6 500 per sqft
3 BHK Apartment for Sale in Apex D Rio  Indirapuram Ghaziabad, None, 2460 sqft, Poss. by Aug '24, None,New Property, Unfurnished, None, None, None, 4, None, ₹3.08 Cr, ₹12 520 per sqft
3 BHK Apartment for Sale in Saya Gold Avenue  Indirapuram Ghaziabad, None, 1770 sqft, Ready to Move, 34,New Property, Unfurnished, None, None, 1 Covered, 3, None, ₹1.76 Cr, ₹9 944 per sqft
4 BHK Apartment for Sale in Aegis Symbol Towers Fragrance  Raj Nagar Extension Ghaziabad, None, 2580 sqft, Poss. by Dec '24, None,New Property, Unfurnished, None, None, 1 Covered, 5, None, ₹1.67 Cr, ₹6 473 per sqft
3 BHK Apartment for Sale in Sapphire SMART HOMES  Wave City Ghaziabad, None, 1230 sqft, Ready to Move, 22 out of 22,New Property, Semi-Furnished, North, Freehold, 1 Covered, 3, 4, ₹1.12 Cr, ₹6 656 per sqft
2 BHK Apartment for Sale in Mahagun Montagge  Crossings Republik Ghaziabad, None, 1120 sqft, Poss. by Jun '25, None,New Property, Semi-Furnished, None, None, 1 Covered, 2, None, ₹73.6 Lac, ₹6 571 per sqft
4 BHK Apartment for Sale in SG Vista  Raj Nagar Extension Ghaziabad, None, 1541 sqft, Poss. by Mar '27, None,New Property, Unfurnished, None, None, None, 4, None, ₹1.56 Cr, None
2 BHK Apartment for Sale in Saviour Park Phase IV  Mohan Nagar  Rajendra Nagar Ghaziabad, None, 762 sqft, Ready to Move, None,New Property, Unfurnished, None, None, 1 Covered, 2, None, ₹79 Lac, ₹6 148 per sqft
3 BHK Apartment for Sale in The Blue  Siddharth Vihar Ghaziabad, None, 2048 sqft, Poss. by Aug '27, None,New Property, Furnished, None, None, 1 Covered, 3, None, ₹1.79 Cr, ₹8 740 per sqft
3 BHK Builder Floor for Sale in Shree Homes  Indirapuram Ghaziabad, Shree Homes, 1350 sqft, Ready to Move, 3 out of 4,Resale, Semi-Furnished, West, Freehold, 1 Covered , 2, 1, ₹99.5 Lac, ₹6 862 per sqft
3 BHK Apartment for Sale in Ahinsa Khand-1  Indirapuram Ghaziabad, None, 1498 sqft, Ready to Move, 3 out of 24,Resale, Semi-Furnished, North - East, Freehold, 2 Covered, 4, 5, ₹3.03 Cr, ₹14 159 per sqft
2 BHK Builder Floor for Sale in Indirapuram Ghaziabad, None, 890 sqft, Ready to Move, 1 out of 4,New Property, Semi-Furnished, East, Freehold, 1 Covered , 2, 2, ₹55 Lac, ₹5 446 per sqft
3 BHK Apartment for Sale in Paramount Symphony Orchid  Sain Vihar Ghaziabad, Paramount Symphony Orchid, 1196 sqft, Ready to Move, 6 out of 24,Resale, Furnished, North - East, Freehold, 1 Covered, 3, 4, ₹79 Lac, ₹5 284 per sqft
3 BHK Apartment for Sale in Aegis Symbol Towers Fragrance  Garhi  Raj Nagar Extension Ghaziabad, Aegis Symbol Towers Fragrance, 1320 sqft, Poss. by Dec '24, 7 out of 19,New Property, Unfurnished, North - East, Leasehold, 1 Covered , 3, 4, ₹1.04 Cr, ₹6 798 per sqft
3 BHK Apartment for Sale in Prateek Grand City  Siddharth Vihar Ghaziabad, Prateek Grand City, 1585 sqft, Ready to Move, 23 out of 27,New Property, Unfurnished, East, Freehold, None, 3, 4, ₹1.22 Cr, ₹7 697 per sqft
